Date,Close,WARN,MVG1,MVG2,DevStop1,DevStop2,DevStop3
Mon Jun 30 00:00:00 PDT 1997,18.50004,18.17502,18.353376961538462,17.398794333333335,18.025498912648608,18.65220349196388,19.278908071279155
Tue Jul 01 00:00:00 PDT 1997,18.18744,18.13752,18.42068773076923,17.398794333333335,18.025498912648608,18.65220349196388,19.278908071279155
Wed Jul 02 00:00:00 PDT 1997,19.062479,18.1500119,18.427896961538462,17.416651476190477,18.040499431069037,18.664347385947597,19.288195340826157
Thu Jul 03 00:00:00 PDT 1997,22.937521,18.2437558,18.43030153846154,17.550582952380953,18.458589566156064,19.36659617993118,20.274602793706293
Mon Jul 07 00:00:00 PDT 1997,24.0,18.7250039,18.605783115384614,21.937554238095235,21.014958032574267,20.092361827053296,19.169765621532328
Tue Jul 08 00:00:00 PDT 1997,27.624959,19.293756,18.834147692307692,23.11009042857143,22.019123186152363,20.9281559437333,19.837188701314236
Wed Jul 09 00:00:00 PDT 1997,27.875041,20.2562519,19.204338423076923,26.824370333333334,25.73883842289959,24.653306512465846,23.567774602032102
Thu Jul 10 00:00:00 PDT 1997,30.75,21.231251999999998,19.579338461538462,27.40778376190476,26.26852304351551,25.129262325126263,23.99000160673701
Fri Jul 11 00:00:00 PDT 1997,27.500041,22.493748,20.079336923076923,29.49706942857143,28.18374248218669,26.870415535801953,25.55708858941722
Mon Jul 14 00:00:00 PDT 1997,25.625041,23.4312481,20.483183115384616,29.431589428571428,28.090970246619946,26.750351064668468,25.409731882716986
Tue Jul 15 00:00:00 PDT 1997,29.25,24.2062562,20.757221615384616,29.258972285714286,27.816402665837618,26.37383304596095,24.931263426084282
Wed Jul 16 00:00:00 PDT 1997,27.999959,25.2812522,21.11779853846154,29.17266361904762,27.746072641452482,26.319481663857346,24.89289068626221
Thu Jul 17 00:00:00 PDT 1997,26.625,26.2625041,21.415873884615383,29.12504657142857,27.697620486907113,26.270194402385656,24.842768317864202
Fri Jul 18 00:00:00 PDT 1997,25.875,27.0187562,21.709144653846153,29.110166619047618,27.69553491398667,26.28090320892572,24.866271503864773
Mon Jul 21 00:00:00 PDT 1997,26.187481,27.312504099999998,21.99279696153846,29.09825795238095,27.694903846088728,26.2915497397965,24.88819563350428
Tue Jul 22 00:00:00 PDT 1997,25.625041,27.5312522,22.259621615384614,29.05658938095238,27.676344732192153,26.296100083431924,24.915855434671695
Wed Jul 23 00:00:00 PDT 1997,27.500041,27.331260399999998,22.514432423076922,28.979212333333333,27.616424007472588,26.253635681611843,24.8908473557511
Thu Jul 24 00:00:00 PDT 1997,27.125041,27.2937604,22.84616323076923,28.952423714285715,27.611807829330065,26.27119194437442,24.930576059418772
Fri Jul 25 00:00:00 PDT 1997,26.750041,26.9312645,23.19472169230769,28.949446476190477,27.612228482603168,26.275010489015862,24.937792495428557
Mon Jul 28 00:00:00 PDT 1997,27.875041,26.856264499999998,23.526452499999998,28.857183619047618,27.58041348143633,26.303643343825044,25.026873206213754
Tue Jul 29 00:00:00 PDT 1997,29.750041,27.0812645,23.901452538461538,28.776823666666665,27.55246969928561,26.328115731904553,25.103761764523497
Wed Jul 30 00:00:00 PDT 1997,29.375041,27.1312686,24.34135876923077,28.800629428571426,27.558061428585688,26.31549342859995,25.072925428614212
Thu Jul 31 00:00:00 PDT 1997,28.749959,27.268776799999998,24.778860346153845,28.753006476190475,27.560678081940864,26.36834968769125,25.176021293441636
Fri Aug 01 00:00:00 PDT 1997,29.000041,27.481272699999998,25.187511076923077,28.70538357142857,27.54045558190885,26.375527592389133,25.21059960286941
Mon Aug 04 00:00:00 PDT 1997,27.75,27.7937768,25.605780346153846,28.827406380952382,27.724357637645383,26.621308894338384,25.518260151031384
Tue Aug 05 00:00:00 PDT 1997,26.499959,27.9500287,25.975971115384613,28.827406333333332,27.724357580853358,26.62130882837338,25.5182600758934
Wed Aug 06 00:00:00 PDT 1997,27.0,28.0375205,26.307701846153847,28.946452,27.933410659610377,26.920369319220757,25.907327978831137
Thu Aug 07 00:00:00 PDT 1997,26.124959,27.9875164,26.634623384615384,28.93454919047619,27.926882298054462,26.919215405632734,25.911548513211006
Fri Aug 08 00:00:00 PDT 1997,27.500041,27.8875082,26.939912576923078,28.339233,27.355479632554836,26.37172626510967,25.387972897664508
Mon Aug 11 00:00:00 PDT 1997,27.93744,27.9625082,27.264434192307693,28.30655880952381,27.46366160207473,26.620764394625645,25.77786718717656
Tue Aug 12 00:00:00 PDT 1997,26.375041,27.9687481,27.456738769230768,28.35715885714286,27.537464336933333,26.717769816723802,25.898075296514275
Wed Aug 13 00:00:00 PDT 1997,26.375041,27.6312481,27.5480865,28.517873142857145,27.887253313671977,27.256633484486812,26.626013655301644
Thu Aug 14 00:00:00 PDT 1997,25.875,27.3312481,27.50001273076923,26.25893142857143,26.86463462028851,27.47033781200559,28.07604100372267
Fri Aug 15 00:00:00 PDT 1997,25.374959,27.0437522,27.423088076923076,26.276788571428572,26.91032061991251,27.54385266839645,28.17738471688039
Mon Aug 18 00:00:00 PDT 1997,24.500041,26.681244,27.21635573076923,24.824405666666667,25.43375148562642,26.043097304586176,26.65244312354593
Tue Aug 19 00:00:00 PDT 1997,26.000041,26.3562481,27.100971115384617,24.88987404761905,25.465021140822387,26.04016823402572,26.61531532722906
Wed Aug 20 00:00:00 PDT 1997,26.000041,26.3062563,27.115394192307694,24.883919714285714,25.46123047435642,26.03854123442712,26.615851994497827
Thu Aug 21 00:00:00 PDT 1997,25.374959,26.206260399999998,26.99039576923077,24.827376904761906,25.38634070218826,25.945304499614615,26.50426829704097
Fri Aug 22 00:00:00 PDT 1997,25.5,26.1312604,26.88943423076923,24.79166261904762,25.4025263591535,26.013390099259386,26.624253839365267
Mon Aug 25 00:00:00 PDT 1997,26.625,25.9312563,26.846165,24.85713685714286,25.42278710238538,25.988437347627908,26.55408759287043
Tue Aug 26 00:00:00 PDT 1997,28.125,25.8000123,26.875011153846152,24.833331238095237,25.38648058176717,25.939629925439103,26.49277926911104
Wed Aug 27 00:00:00 PDT 1997,27.812519,25.9750082,26.949531115384616,24.78571414285714,25.332915005269868,25.88011586768259,26.427316730095313
